case_id,start_time,end_time,CountQuizCorrect,CountQuizWrong,MaxPageReached,QuizRatio,TotalQuiz,creator,event,variant,variant_index,Activity,menu,pageTitle
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:55,2023-02-24T13:01:55,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, INTRO,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:05,2023-02-24T13:02:05,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-INTRO,menu_1,Q-INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:40,2023-02-24T13:02:40,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, 1ST_PROG,menu_1,1ST_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:02,2023-02-24T13:05:02,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-1ST_PROG,menu_1,Q-1ST_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:27,2023-02-24T13:05:27,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, VARS,menu_1,VARS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:07:25,2023-02-24T13:07:25,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, VARS-Quiz,menu_1,VARS-Quiz
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:09:21,2023-02-24T13:09:21,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, LISTS,menu_4,LISTS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:17:25,2023-02-24T13:17:25,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-LISTS,menu_4,Q-LISTS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:17:54,2023-02-24T13:17:54,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, DICTIONARIES,menu_4,DICTIONARIES
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:20:45,2023-02-24T13:20:45,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-DICTIONARIES,menu_4,Q-DICTIONARIES
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:20:51,2023-02-24T13:20:51,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, DATA_TYPES,menu_4,DATA_TYPES
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:21:01,2023-02-24T13:21:01,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-DATA_TYPES,menu_4,Q-DATA_TYPES
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:21:14,2023-02-24T13:21:14,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, CONVERSIONS,menu_4,CONVERSIONS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:21:18,2023-02-24T13:21:18,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-CONVERSIONS,menu_4,Q-CONVERSIONS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:25:52,2023-02-24T13:25:52,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, IF_ELSE,menu_4,IF_ELSE
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:25:59,2023-02-24T13:25:59,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-IF_ELSE,menu_4,Q-IF_ELSE
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:26:14,2023-02-24T13:26:14,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, FOR,menu_4,FOR
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:26:17,2023-02-24T13:26:17,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, Q-FOR,menu_4,Q-FOR
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:26:27,2023-02-24T13:26:27,5, 5, 11, 0.5, 10, Fluxicon Disco, ingressoPagina, Variant 1, 1, FUNCTIONS,menu_4,FUNCTIONS
