case_id,start_time,end_time,creator,variant,variant_index,Activity,event,eventPara,menu,pageTitle
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:55,2023-02-24T13:01:55,Fluxicon Disco, Variant 3, 3, INTRO_PageEnter-00,PageEnter,INTRO_PageEnter-00,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:56,2023-02-24T13:01:56,Fluxicon Disco, Variant 3, 3, INTRO_mouseover-02,mouseover,INTRO_mouseover-02,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:56,2023-02-24T13:01:56,Fluxicon Disco, Variant 3, 3, INTRO_mouseenter-02,mouseenter,INTRO_mouseenter-02,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:56,2023-02-24T13:01:56,Fluxicon Disco, Variant 3, 3, INTRO_mouseout-02,mouseout,INTRO_mouseout-02,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:57,2023-02-24T13:01:57,Fluxicon Disco, Variant 3, 3, INTRO_mouseover-03,mouseover,INTRO_mouseover-03,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:57,2023-02-24T13:01:57,Fluxicon Disco, Variant 3, 3, INTRO_mouseenter-03,mouseenter,INTRO_mouseenter-03,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:01:59,2023-02-24T13:01:59,Fluxicon Disco, Variant 3, 3, INTRO_mouseout-03,mouseout,INTRO_mouseout-03,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:01,2023-02-24T13:02:01,Fluxicon Disco, Variant 3, 3, INTRO_mouseover-04,mouseover,INTRO_mouseover-04,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:01,2023-02-24T13:02:01,Fluxicon Disco, Variant 3, 3, INTRO_mouseenter-04,mouseenter,INTRO_mouseenter-04,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:01,2023-02-24T13:02:01,Fluxicon Disco, Variant 3, 3, INTRO_mouseout-04,mouseout,INTRO_mouseout-04,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:05,2023-02-24T13:02:05,Fluxicon Disco, Variant 3, 3, INTRO_PageExit-00,PageExit,INTRO_PageExit-00,menu_1,INTRO
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:05,2023-02-24T13:02:05,Fluxicon Disco, Variant 3, 3, INTRO-Q_PageEnter-00,PageEnter,INTRO-Q_PageEnter-00,menu_1,INTRO-Q
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:40,2023-02-24T13:02:40,Fluxicon Disco, Variant 3, 3, INTRO-Q_PageExit-00,PageExit,INTRO-Q_PageExit-00,menu_1,INTRO-Q
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:40,2023-02-24T13:02:40,Fluxicon Disco, Variant 3, 3, 1st_PROG_PageEnter-00,PageEnter,1st_PROG_PageEnter-00,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:53,2023-02-24T13:02:53,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseover-02,mouseover,1st_PROG_mouseover-02,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:53,2023-02-24T13:02:53,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseenter-02,mouseenter,1st_PROG_mouseenter-02,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:02:58,2023-02-24T13:02:58,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseout-02,mouseout,1st_PROG_mouseout-02,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:03:38,2023-02-24T13:03:38,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseenter-03,mouseenter,1st_PROG_mouseenter-03,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:03:38,2023-02-24T13:03:38,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseover-03,mouseover,1st_PROG_mouseover-03,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:03:39,2023-02-24T13:03:39,Fluxicon Disco, Variant 3, 3, 1st_PROG_mouseout-03,mouseout,1st_PROG_mouseout-03,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:02,2023-02-24T13:05:02,Fluxicon Disco, Variant 3, 3, 1st_PROG_PageExit-00,PageExit,1st_PROG_PageExit-00,menu_1,1st_PROG
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:02,2023-02-24T13:05:02,Fluxicon Disco, Variant 3, 3, 1st_PROG-Q_PageEnter-00,PageEnter,1st_PROG-Q_PageEnter-00,menu_1,1st_PROG-Q
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:27,2023-02-24T13:05:27,Fluxicon Disco, Variant 3, 3, 1st_PROG-Q_PageExit-00,PageExit,1st_PROG-Q_PageExit-00,menu_1,1st_PROG-Q
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:05:27,2023-02-24T13:05:27,Fluxicon Disco, Variant 3, 3, VARS_PageEnter-00,PageEnter,VARS_PageEnter-00,menu_1,VARS
0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz,2023-02-24T13:07:25,2023-02-24T13:07:25,Fluxicon Disco, Variant 3, 3, VARS_PageExit-00,PageExit,VARS_PageExit-00,menu_1,VARS
