case_id,start_time,end_time,creator,event,variant,variant_index,Activity,menu,pageTitle
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:47:21,2023-02-24T11:47:21,Fluxicon Disco, ingressoPagina, Variant 3, 3, INTRO,menu_1,INTRO
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:47:50,2023-02-24T11:47:50,Fluxicon Disco, ingressoPagina, Variant 3, 3, Q-INTRO,menu_1,Q-INTRO
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:47:55,2023-02-24T11:47:55,Fluxicon Disco, ingressoPagina, Variant 3, 3, 1st_PROG,menu_1,1st_PROG
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:48:36,2023-02-24T11:48:36,Fluxicon Disco, ingressoPagina, Variant 3, 3, Q-1st_PROG,menu_1,Q-1st_PROG
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:48:39,2023-02-24T11:48:39,Fluxicon Disco, ingressoPagina, Variant 3, 3, VARS,menu_1,VARS
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:48:41,2023-02-24T11:48:41,Fluxicon Disco, ingressoPagina, Variant 3, 3, Q-VARS,menu_1,Q-VARS
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:48:58,2023-02-24T11:48:58,Fluxicon Disco, ingressoPagina, Variant 3, 3, IF_ELSE,menu_3,IF_ELSE
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:49:23,2023-02-24T11:49:23,Fluxicon Disco, ingressoPagina, Variant 3, 3, Q-IF_ELSE,menu_3,Q-IF_ELSE
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:49:27,2023-02-24T11:49:27,Fluxicon Disco, ingressoPagina, Variant 3, 3, FOR,menu_3,FOR
AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z,2023-02-24T11:49:29,2023-02-24T11:49:29,Fluxicon Disco, ingressoPagina, Variant 3, 3, Q-FOR,menu_3,Q-FOR
